john,brooke,taegyoon,status_text,status_extended_text,quote_status_text,quote_status_extended_text,status_is_retweet,status_is_quote,status_reply_to_status_id,status_reply_to_user_id,status_reply_to_screen_name,user_id,user_screen_name,user_created_at,user_favourites_count,user_followers_count,user_friends_count,user_status_count,status_id,status_created_at,status_favorite_count,status_retweet_count,status_quote_count,status_reply_count,quote_user_id,quote_user_screen_name,quote_user_created_at,quote_user_favourites_count,quote_user_followers_count,quote_user_friends_count,quote_user_status_count,quote_status_id,quote_status_created_at,quote_status_reply_to_status_id,quote_status_reply_to_user_id,quote_status_reply_to_screen_name,quote_status_favorite_count,quote_status_retweet_count,quote_status_quote_count,quote_status_reply_count,retweet_user_id,retweet_user_screen_name,retweet_user_created_at,retweet_user_favourites_count,retweet_user_followers_count,retweet_user_friends_count,retweet_user_status_count,retweet_status_id,retweet_status_created_at,retweet_status_text,retweet_status_extended_text,retweet_status_reply_to_status_id,retweet_status_reply_to_user_id,retweet_status_reply_to_screen_name,retweet_status_favorite_count,retweet_status_retweet_count,retweet_status_quote_count,retweet_status_reply_count
3,3,3,"@ErinMPerrine @realDonaldTrump These thugs and criminals are not Americans, not any with any kind of sense at all o… https://t.co/DPpOLe3sYl","@ErinMPerrine @realDonaldTrump These thugs and criminals are not Americans, not any with any kind of sense at all of what that even means. No American has the right to burn, destroy, murder, and steal. This is not defensible behavior to anyone but the most worthless losers.",NA,NA,0,0,1.27E+18,89068115,ErinMPerrine,7.06E+17,JanetAbrahamson,Fri Mar 04 05:12:31 +0000 2016,2017,11,50,1303,1.27E+18,Wed Jun 03 07:25:01 +0000 2020,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,3,@StephanieGerace @Pappiness @realDonaldTrump It’s about two simple words. Did the victim die “from” the virus or “w… https://t.co/fYTJdNKU2l,@StephanieGerace @Pappiness @realDonaldTrump It’s about two simple words. Did the victim die “from” the virus or “with” the virus. Most death totals are “with” the virus and shouldn’t have been listed as cause of death.,NA,NA,0,0,1.27E+18,1.19E+18,StephanieGerace,808717122,tomholmes03,Fri Sep 07 11:49:04 +0000 2012,946,41,322,3288,1.27E+18,Thu May 28 18:08:22 +0000 2020,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,trump. plz just go choke on a dick like billie said and go to hell.,NA,FUCK YOU TWITTER. STOP DELETING POSTS RELATED TO #Anonymous  EXPOSING DONALD TRUMP BEING A PEDOPHILE STOP TRYING TO… https://t.co/9jkkHo67nC,FUCK YOU TWITTER. STOP DELETING POSTS RELATED TO #Anonymous  EXPOSING DONALD TRUMP BEING A PEDOPHILE STOP TRYING TO CENSOR https://t.co/dFURKnFAeu,0,1,,,,1.03E+18,modernness_,Tue Aug 14 01:28:35 +0000 2018,1522,5,284,129,1.27E+18,Sun May 31 18:05:29 +0000 2020,0,0,0,0,4551433345,clusterfuktoast,Sun Dec 13 23:30:25 +0000 2015,90302,520,447,42195,1.27E+18,Sun May 31 17:30:56 +0000 2020,,,,2280,1344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,2,@SteveSchmidtSES @SenTomCotton If the purpose of the call up would be to take over the White House and put Pence in… https://t.co/f1dr1nW9Uc,@SteveSchmidtSES @SenTomCotton If the purpose of the call up would be to take over the White House and put Pence in charge until Biden wins? I’m all over that one. The GOP is dead. They are gutless and powerless against the #bunkerbitch and our country deserves and needs better ldrship right now! We can‘t wait,NA,NA,0,0,1.27E+18,7.86E+17,SteveSchmidtSES,1.26E+18,Thewayweharmonz,Mon May 18 20:56:37 +0000 2020,53,0,47,42,1.27E+18,Mon Jun 01 19:03:50 +0000 2020,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2,3,@PeteHegseth @GovTimWalz Why are rioter/terrorists being filmed stating they’re going to kill  police? Why aren’t t… https://t.co/egkHMh7ra9,@PeteHegseth @GovTimWalz Why are rioter/terrorists being filmed stating they’re going to kill  police? Why aren’t they reported &amp; detained for making terroristic threats? Media is as guilty as the local officials &amp; citizens. If you’re not part of the solution you’re part of the problem!,NA,NA,0,0,1.27E+18,405004997,PeteHegseth,526634380,JanetPursley,Fri Mar 16 17:50:45 +0000 2012,18153,3085,2704,113016,1.27E+18,Sun May 31 13:39:02 +0000 2020,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,3,@CherryCheetah @ji_mins_choclte @Surrounded_Sea @phuggie @realJFlowers @DYoffee @GeraldoRivera @Twitter… https://t.co/BGkw5CqOCN,@CherryCheetah @ji_mins_choclte @Surrounded_Sea @phuggie @realJFlowers @DYoffee @GeraldoRivera @Twitter @realDonaldTrump @JoeBiden You still want to go with Cuomo's 6000 dead in nursing homes.  Okay. I never disputed that.  What's the argument?  That Cuomo is worse than Trump?,NA,NA,0,0,1.27E+18,45843998,CherryCheetah,1.26E+18,Cooper82E,Mon May 18 22:33:55 +0000 2020,473,4,134,383,1.27E+18,Sun May 31 00:07:29 +0000 2020,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,3,"Actually, now that I think more 99.8% of them were terrible. Jackson and Trump are about neck and neck... but Jacks… https://t.co/KPmG9ml2xa","Actually, now that I think more 99.8% of them were terrible. Jackson and Trump are about neck and neck... but Jackson was a different level of evil.",NA,NA,0,0,1.27E+18,2621624584,nickyoungslife,2621624584,nickyoungslife,Thu Jun 19 01:17:15 +0000 2014,7969,1280,1081,8596,1.27E+18,Thu Jun 04 04:00:10 +0000 2020,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2,3,@laurenboebert @taylorswift13 @realDonaldTrump “The shooting starts” pretty clear to everyone that’s not in the Trump Cult,NA,NA,NA,0,0,1.27E+18,1.20E+18,laurenboebert,25195023,monicapavon,Thu Mar 19 00:22:03 +0000 2009,36314,86,473,1856,1.27E+18,Fri May 29 16:14:18 +0000 2020,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2,3,@realDonaldTrump @VP aren’t you guys pro life and you are telling cops to shoot chemicals at a poor pregnant woman!… https://t.co/N10nlIjaBS,@realDonaldTrump @VP aren’t you guys pro life and you are telling cops to shoot chemicals at a poor pregnant woman! WHO ARE THE DAMN THUGS NOW!,This man isn't a protester.  He was just a guy sitting at a traffic light when cops shot his car with a tear gas ro… https://t.co/yN0MqOeyo6,This man isn't a protester.  He was just a guy sitting at a traffic light when cops shot his car with a tear gas round. He got out to yell at them because his pregnant wife is in the vehicle. So they opened fire on them. https://t.co/gFAsxwi97x,0,1,,25073877,realDonaldTrump,296559472,don_chanclas,Wed May 11 00:29:22 +0000 2011,11911,375,404,22932,1.27E+18,Thu Jun 04 16:10:39 +0000 2020,0,0,0,0,44898608,morphonios,Fri Jun 05 14:05:31 +0000 2009,3406,17191,306,14575,1.27E+18,Thu Jun 04 02:34:55 +0000 2020,,,,109868,64445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,3,@Lo_Gannicus @RushvilleRockit @Star_Lord_Guy @everything_says @DogloverMmat65 @EIizabethLouise @imvala @misshellca… https://t.co/lyRUkIB0CI,"@Lo_Gannicus @RushvilleRockit @Star_Lord_Guy @everything_says @DogloverMmat65 @EIizabethLouise @imvala @misshellca @BSHerrle @camp_terrence @TonyTatano @MikeAda69588676 @TrumpSugar @HouseOfJames2 @JohnnyNowhere @ErieMom @miss_simone247 @LisaNicholo @Resistance_Rabs @pookietooth @OpnSrceElements @Dennisabm @DoctorSavage11 @missjulialee @RobertB06785021 @Lovestr50361283 @KJSParty @HurrNot @Markholiday13 @Tigertomjr @medwoman1 @CoxeAnne @katelikesnascar @LightsSuns @PoliticsPot @akvawe66 @newsjunky2 @FrankieLuvsMen @Penguin_SYLS @FreshWhittaker @SpaceForceBravo @Sarah11290739 @tifinblm @ic_lib @Rose52413 @LadyOfTheOcean1 @Bulkwiiings @martita_fg19 @ResistByChg @EmptyBrain14 They already showed their outrage when conservatives dated protest the lockdown. They're the only ones allowed to protest. Nobody looted, rioted, beat, maimed or killed anyone during those protests. THAT is a peaceful protest.",NA,NA,0,0,1.27E+18,9.38E+17,Lo_Gannicus,2251469274,BrokeRoca,Wed Dec 18 05:30:11 +0000 2013,61761,2335,2086,25932,1.27E+18,Thu Jun 04 04:00:09 +0000 2020,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
