handle,office,gender,party,,,,,,
@RepCummings,representative,M,D,,,,,,
@repjohnlewis,representative,M,D,,,,,,
@Rep_Hunter,representative,M,R,,,,,,
@EleanorNorton,representative,F,D,,,,,,
@RepMarkMeadows,representative,M,R,,,,,,
@RepRatcliffe,representative,M,R,,,,,,
@SenatorLeahy,senator,M,D,,,,,,
@JimPressOffice,representative,M,R,,,,,,
@ChuckGrassley,senator,M,R,,,,,,
@RepHalRogers,representative,M,R,,,,,,
@RepChrisSmith,representative,M,R,,,,,,
@RepMarcyKaptur,representative,F,D,,,,,,
@SenateMajLdr,senator,M,R,,,,,,
@RepVisclosky,representative,M,D,,,,,,
@SenShelby,senator,M,R,,,,,,
@RepFredUpton,representative,M,R,,,,,,
@RepPeterDeFazio,representative,M,D,,,,,,
@SpeakerPelosi,representative,F,D,,,,,,
@FrankPallone,representative,M,D,,,,,,
@RepRichardNeal,representative,M,D,,,,,,
@RepEliotEngel,representative,M,D,,,,,,
@NitaLowey,representative,F,D,,,,,,
@RepJoseSerrano,representative,M,D,,,,,,
@RepMaxineWaters,representative,F,D,,,,,,
@rosadelauro,representative,F,D,,,,,,
@RepJerryNadler,representative,M,D,,,,,,
@SenFeinstein,senator,F,D,,,,,,
@RepHastingsFL,representative,M,D,,,,,,
@PattyMurray,senator,F,D,,,,,,
@RepAnnaEshoo,representative,F,D,,,,,,
@RepRoybalAllard,representative,F,D,,,,,,
@KenCalvert,representative,M,R,,,,,,
@SanfordBishop,representative,M,D,,,,,,
@RepBobbyRush,representative,M,D,,,,,,
@NydiaVelazquez,representative,F,D,,,,,,
@RepMaloney,representative,F,D,,,,,,
@WhipClyburn,representative,M,D,,,,,,
@RepEBJ,representative,F,D,,,,,,
@BobbyScott,representative,M,D,,,,,,
@RepPeteKing,representative,M,R,,,,,,
@BennieGThompson,representative,M,D,,,,,,
@RepFrankLucas,representative,M,R,,,,,,
@JimInhofe,senator,M,R,,,,,,
@RepZoeLofgren,representative,F,D,,,,,,
@USRepMikeDoyle,representative,M,D,,,,,,
@JacksonLeeTX18,representative,F,D,,,,,,
@RepLloydDoggett,representative,M,D,,,,,,
@MacTXPress,representative,M,R,,,,,,
@RonWyden,senator,M,D,,,,,,
@repblumenauer,representative,M,D,,,,,,
@SenatorDurbin,senator,M,D,,,,,,
@SenatorCollins,senator,F,R,,,,,,
@SenJackReed,senator,M,D,,,,,,
@Robert_Aderholt,representative,M,R,,,,,,
@BradSherman,representative,M,D,,,,,,
@RepDianaDeGette,representative,F,D,,,,,,
@RepDannyDavis,representative,M,D,,,,,,
@RepMcGovern,representative,M,D,,,,,,
@RepDavidEPrice,representative,M,D,,,,,,
@BillPascrell,representative,M,D,,,,,,
@RepKevinBrady,representative,M,R,,,,,,
@RepKayGranger,representative,F,R,,,,,,
@RepAdamSmith,representative,M,D,,,,,,
@RepRonKind,representative,M,D,,,,,,
@SenPatRoberts,senator,M,R,,,,,,
@SenatorEnzi,senator,M,R,,,,,,
@RepShimkus,representative,M,R,,,,,,
@RepGregoryMeeks,representative,M,D,,,,,,
@RepBarbaraLee,representative,F,D,,,,,,
@MikeCrapo,senator,M,R,,,,,,
@SenSchumer,senator,M,D,,,,,,
@RepThompson,representative,M,D,,,,,,
@gracenapolitano,representative,F,D,,,,,,
@RepJohnLarson,representative,M,D,,,,,,
@CongMikeSimpson,representative,M,R,,,,,,
@janschakowsky,representative,F,D,,,,,,
@repgregwalden,representative,M,R,,,,,,
@SenatorCarper,senator,M,D,,,,,,
@SenStabenow,senator,F,D,,,,,,
@SenatorCantwell,senator,F,D,,,,,,
@RepAdamSchiff,representative,M,D,,,,,,
@BettyMcCollum04,representative,F,D,,,,,,
@RepSamGraves,representative,M,R,,,,,,
@JimLangevin,representative,M,D,,,,,,
@RepRickLarsen,representative,M,D,,,,,,
@RepSusanDavis,representative,F,D,,,,,,
@LacyClayMO1,representative,M,D,,,,,,
@RepStephenLynch,representative,M,D,,,,,,
@RepJoeWilson,representative,M,R,,,,,,
@JohnCornyn,senator,M,R,,,,,,
@lisamurkowski,senator,F,R,,,,,,
@LindseyGrahamSC,senator,M,R,,,,,,
@RepMikeRogersAL,representative,M,R,,,,,,
@RepRaulGrijalva,representative,M,D,,,,,,
@DevinNunes,representative,M,R,,,,,,
@RepLindaSanchez,representative,F,D,,,,,,
@MarioDB,representative,M,R,,,,,,
@repdavidscott,representative,M,D,,,,,,
@Call_Me_Dutch,representative,M,D,,,,,,
@RepMikeTurner,representative,M,R,,,,,,
@RepTimRyan,representative,M,D,,,,,,
@TomColeOK04,representative,M,R,,,,,,
@repjimcooper,representative,M,D,,,,,,
@michaelcburgess,representative,M,R,,,,,,
@JudgeCarter,representative,M,R,,,,,,
@SenAlexander,senator,M,R,,,,,,
@SteveKingIA,representative,M,R,,,,,,
@RepRobBishop,representative,M,R,,,,,,
@GKButterfield,representative,M,D,,,,,,
@SenatorBurr,senator,M,R,,,,,,
@SenJohnThune,senator,M,R,,,,,,
@RepJimCosta,representative,M,D,,,,,,
@DWStweets,representative,F,D,,,,,,
@repcleaver,representative,M,D,,,,,,
@virginiafoxx,representative,F,R,,,,,,
@PatrickMcHenry,representative,M,R,,,,,,
@JeffFortenberry,representative,M,R,,,,,,
@RepBrianHiggins,representative,M,D,,,,,,
@replouiegohmert,representative,M,R,,,,,,
@RepAlGreen,representative,M,D,,,,,,
@RepMcCaul,representative,M,R,,,,,,
@RepCuellar,representative,M,D,,,,,,
@cathymcmorris,representative,F,R,,,,,,
@RepGwenMoore,representative,F,D,,,,,,
@RepLipinski,representative,M,D,,,,,,
@ConawayTX11,representative,M,R,,,,,,
@RepKenMarchant,representative,M,R,,,,,,
@DorisMatsui,representative,F,D,,,,,,
@SenatorMenendez,senator,M,D,,,,,,
@RepSires,representative,M,D,,,,,,
@SenatorCardin,senator,M,D,,,,,,
@SenAmyKlobuchar,senator,F,D,,,,,,
@SenatorTester,senator,M,D,,,,,,
@SenSherrodBrown,senator,M,D,,,,,,
@SenBobCasey,senator,M,D,,,,,,
@SenWhitehouse,senator,M,D,,,,,,
@SenSanders,senator,M,I,,,,,,
@RepMcNerney,representative,M,D,,,,,,
@GOPLeader,representative,M,D,,,,,,
@RepDLamborn,representative,M,R,,,,,,
@RepPerlmutter,representative,M,D,,,,,,
@RepJoeCourtney,representative,M,D,,,,,,
@RepGusBilirakis,representative,M,R,,,,,,
@USRepKCastor,representative,F,D,,,,,,
@VernBuchanan,representative,M,R,,,,,,
@RepHankJohnson,representative,M,D,,,,,,
@RepJohnYarmuth,representative,M,D,,,,,,
@RepSarbanes,representative,M,D,,,,,,
@RepAdrianSmith,representative,M,R,,,,,,
@RepYvetteClarke,representative,F,D,,,,,,
@Jim_Jordan,representative,M,R,,,,,,
@RepCohen,representative,M,D,,,,,,
@PeterWelch,representative,M,D,,,,,,
@daveloebsack,representative,M,D,,,,,,
@SenJohnBarrasso,senator,M,R,,,,,,
@boblatta,representative,M,R,,,,,,
@RobWittman,representative,M,R,,,,,,
@SenatorWicker,senator,M,R,,,,,,
@RepAndreCarson,representative,M,D,,,,,,
@RepSpeier,representative,F,D,,,,,,
@SteveScalise,representative,M,R,,,,,,
@RepMarciaFudge,representative,F,D,,,,,,
@SenatorRisch,senator,M,R,,,,,,
@SenatorShaheen,senator,F,D,,,,,,
@SenJeffMerkley,senator,M,D,,,,,,
@MarkWarner,senator,M,D,,,,,,
@RepMcClintock,representative,M,R,,,,,,
@jahimes,representative,M,D,,,,,,
@congbillposey,representative,M,R,,,,,,
@RepGuthrie,representative,M,R,,,,,,
@chelliepingree,representative,F,D,,,,,,
@RepBlaine,representative,M,R,,,,,,
@RepPaulTonko,representative,M,D,,,,,,
@RepSchrader,representative,M,D,,,,,,
@CongressmanGT,representative,M,R,,,,,,
@GerryConnolly,representative,M,D,,,,,,
@SenatorTomUdall,senator,M,D,,,,,,
@repbenraylujan,representative,M,D,,,,,,
@DrPhilRoe,representative,M,R,,,,,,
@RepPeteOlson,representative,M,R,,,,,,
@SenatorBennet,senator,M,D,,,,,,
@gillibrandny,senator,F,D,,,,,,
@RepMikeQuigley,representative,M,D,,,,,,
@RepJudyChu,representative,F,D,,,,,,
@GovHerbert,governor,M,R,,,,,,
@RepGaramendi,representative,M,D,,,,,,
@RepTedDeutch,representative,M,D,,,,,,
@ChrisCoons,senator,M,D,,,,,,
@Sen_JoeManchin,senator,M,D,,,,,,
@RepTomReed,representative,M,R,,,,,,
@NYGovCuomo,governor,M,D,,,,,,
@RepSteveStivers,representative,M,R,,,,,,
@JohnBoozman,senator,M,R,,,,,,
@SenBlumenthal,senator,M,D,,,,,,
@marcorubio,senator,M,R,,,,,,
@JerryMoran,senator,M,R,,,,,,
@RandPaul,senator,M,R,,,,,,
@RoyBlunt,senator,M,R,,,,,,
@SenJohnHoeven,senator,M,R,,,,,,
@senrobportman,senator,M,R,,,,,,
@SenToomey,senator,M,R,,,,,,
@SenMikeLee,senator,M,R,,,,,,
@SenRonJohnson,senator,M,R,,,,,,
@RepMoBrooks,representative,M,R,,,,,,
@RepTerriSewell,representative,F,D,,,,,,
@RepRickCrawford,representative,M,R,,,,,,
@rep_stevewomack,representative,M,R,,,,,,
@RepGosar,representative,M,R,,,,,,
@RepDavid,representative,M,R,,,,,,
@RepKarenBass,representative,F,D,,,,,,
@RepWebster,representative,M,R,,,,,,
@RepWilson,representative,F,D,,,,,,
@AustinScottGA08,representative,M,R,,,,,,
@RepKinzinger,representative,M,R,,,,,,
@RepLarryBucshon,representative,M,R,,,,,,
@RepRichmond,representative,M,D,,,,,,
@RepAndyHarrisMD,representative,M,R,,,,,,
@USRepKeating,representative,M,D,,,,,,
@RepHuizenga,representative,M,R,,,,,,
@RepWalberg,representative,M,R,,,,,,
@RepHartzler,representative,F,R,,,,,,
@USRepLong,representative,M,R,,,,,,
@CongPalazzo,representative,M,R,,,,,,
@RepSteveChabot,representative,M,R,,,,,,
@RepBillJohnson,representative,M,R,,,,,,
@RepBobGibbs,representative,M,R,,,,,,
@MikeKellyPA,representative,M,R,,,,,,
@davidcicilline,representative,M,D,,,,,,
@RepJeffDuncan,representative,M,R,,,,,,
@RepChuck,representative,M,R,,,,,,
@DesJarlaisTN04,representative,M,R,,,,,,
@RepMGriffith,representative,M,R,,,,,,
@HerreraBeutler,representative,F,R,,,,,,
@RepMcKinley,representative,M,R,,,,,,
